week_start,region,campaign,spend,impressions,clicks
2025-06-01,East Region,Always-on Search,4441,1057380,25690
2025-06-01,East Region,Social Retargeting,2694,641428,16277
2025-06-01,East Region,Email Re-engagement,1305,310714,7529
2025-06-01,East Region,Display Prospecting,1035,246428,8799
2025-06-01,North Region,Always-on Search,3823,910238,29303
2025-06-01,North Region,Social Retargeting,2587,615952,19506
2025-06-01,North Region,Email Re-engagement,1280,304761,8876
2025-06-01,North Region,Display Prospecting,934,222380,7207
2025-06-08,East Region,Always-on Search,4556,1084761,35285
2025-06-08,East Region,Social Retargeting,2591,616904,19418
2025-06-08,East Region,Email Re-engagement,1395,332142,6770
2025-06-08,East Region,Display Prospecting,928,220952,6506
2025-06-08,North Region,Always-on Search,4666,1110952,29130
2025-06-08,North Region,Social Retargeting,2574,612857,17755
2025-06-08,North Region,Email Re-engagement,1407,335000,9671
2025-06-08,North Region,Display Prospecting,961,228809,7338
2025-06-15,East Region,Always-on Search,4316,1027619,27925
2025-06-15,East Region,Social Retargeting,2920,695238,17419
2025-06-15,East Region,Email Re-engagement,1419,337857,7538
2025-06-15,East Region,Display Prospecting,1006,239523,8287
2025-06-15,North Region,Always-on Search,4052,964761,22607
2025-06-15,North Region,Social Retargeting,2488,592380,19034
2025-06-15,North Region,Email Re-engagement,1296,308571,7961
2025-06-15,North Region,Display Prospecting,1008,240000,6102
2025-06-22,East Region,Always-on Search,4447,1058809,30759
2025-06-22,East Region,Social Retargeting,2704,643809,17090
2025-06-22,East Region,Email Re-engagement,1438,342380,11970
2025-06-22,East Region,Display Prospecting,973,231666,5200
2025-06-22,North Region,Always-on Search,3775,898809,24312
2025-06-22,North Region,Social Retargeting,2825,672619,25286
2025-06-22,North Region,Email Re-engagement,1414,336666,8520
2025-06-22,North Region,Display Prospecting,1006,239523,7147
2025-06-29,East Region,Always-on Search,3762,895714,20500
2025-06-29,East Region,Social Retargeting,3179,756904,21253
2025-06-29,East Region,Email Re-engagement,1319,314047,7331
2025-06-29,East Region,Display Prospecting,912,217142,6786
2025-06-29,North Region,Always-on Search,4497,1070714,34155
2025-06-29,North Region,Social Retargeting,2899,690238,20340
2025-06-29,North Region,Email Re-engagement,1409,335476,11424
2025-06-29,North Region,Display Prospecting,918,218571,6644
2025-07-06,East Region,Always-on Search,3891,926428,27150
2025-07-06,East Region,Social Retargeting,2737,651666,12297
2025-07-06,East Region,Email Re-engagement,1537,365952,8410
2025-07-06,East Region,Display Prospecting,881,209761,6625
2025-07-06,North Region,Always-on Search,4386,1044285,28125
2025-07-06,North Region,Social Retargeting,2394,570000,14165
2025-07-06,North Region,Email Re-engagement,1519,361666,12515
2025-07-06,North Region,Display Prospecting,970,230952,6375
2025-07-13,East Region,Always-on Search,4260,1014285,26718
2025-07-13,East Region,Social Retargeting,3329,792619,20182
2025-07-13,East Region,Email Re-engagement,1281,305000,8568
2025-07-13,East Region,Display Prospecting,909,216428,5157
2025-07-13,North Region,Always-on Search,4344,1034285,28202
2025-07-13,North Region,Social Retargeting,3046,725238,23940
2025-07-13,North Region,Email Re-engagement,1405,334523,8893
2025-07-13,North Region,Display Prospecting,1074,255714,5732
2025-07-20,East Region,Always-on Search,4444,1058095,27539
2025-07-20,East Region,Social Retargeting,2918,694761,22421
2025-07-20,East Region,Email Re-engagement,1377,327857,6943
2025-07-20,East Region,Display Prospecting,1043,248333,7751
2025-07-20,North Region,Always-on Search,4148,987619,24373
2025-07-20,North Region,Social Retargeting,2499,595000,15901
2025-07-20,North Region,Email Re-engagement,1387,330238,9533
2025-07-20,North Region,Display Prospecting,962,229047,4752
2025-07-27,East Region,Always-on Search,4593,1093571,30081
2025-07-27,East Region,Social Retargeting,2768,659047,23249
2025-07-27,East Region,Email Re-engagement,1502,357619,12283
2025-07-27,East Region,Display Prospecting,1015,241666,6966
2025-07-27,North Region,Always-on Search,4231,1007380,27997
2025-07-27,North Region,Social Retargeting,2860,680952,14770
2025-07-27,North Region,Email Re-engagement,1445,344047,5329
2025-07-27,North Region,Display Prospecting,871,207380,5367
2025-08-03,East Region,Always-on Search,4403,1048333,34658
2025-08-03,East Region,Social Retargeting,3153,750714,23477
2025-08-03,East Region,Email Re-engagement,1349,321190,9259
2025-08-03,East Region,Display Prospecting,1002,238571,6256
2025-08-03,North Region,Always-on Search,4342,1033809,28436
2025-08-03,North Region,Social Retargeting,2782,662380,17533
2025-08-03,North Region,Email Re-engagement,1521,362142,9026
2025-08-03,North Region,Display Prospecting,938,223333,6741
2025-08-10,East Region,Always-on Search,4212,1002857,24098
2025-08-10,East Region,Social Retargeting,2857,680238,22419
2025-08-10,East Region,Email Re-engagement,1537,365952,10424
2025-08-10,East Region,Display Prospecting,995,236904,6883
2025-08-10,North Region,Always-on Search,4117,980238,32678
2025-08-10,North Region,Social Retargeting,2979,709285,21732
2025-08-10,North Region,Email Re-engagement,1441,343095,8918
2025-08-10,North Region,Display Prospecting,914,217619,6619
2025-08-17,East Region,Always-on Search,3043,724523,21446
2025-08-17,East Region,Social Retargeting,2302,548095,16221
2025-08-17,East Region,Email Re-engagement,982,233809,5684
2025-08-17,East Region,Display Prospecting,724,172380,4630
2025-08-17,North Region,Always-on Search,4420,1052380,28927
2025-08-17,North Region,Social Retargeting,2677,637380,15728
2025-08-17,North Region,Email Re-engagement,1373,326904,10958
2025-08-17,North Region,Display Prospecting,960,228571,5091
2025-08-24,East Region,Always-on Search,3701,881190,28421
2025-08-24,East Region,Social Retargeting,2426,577619,14758
2025-08-24,East Region,Email Re-engagement,1082,257619,5577
2025-08-24,East Region,Display Prospecting,762,181428,4653
2025-09-07,East Region,Always-on Search,3398,809047,25353
2025-09-07,East Region,Social Retargeting,2034,484285,16465
2025-09-07,East Region,Email Re-engagement,1234,293809,7781
2025-09-07,East Region,Display Prospecting,766,182380,5182
2025-09-08,East Region,Always-on Search,4469,1064047,35825
2025-09-08,East Region,Social Retargeting,3095,736904,23945
2025-09-08,East Region,Email Re-engagement,1492,355238,10254
