date,region,category,ticket_count
2025-06-01,East Region,checkout_error,6
2025-06-01,East Region,shipping_query,18
2025-06-01,East Region,return_request,12
2025-06-01,East Region,other,41
2025-06-02,East Region,checkout_error,5
2025-06-02,East Region,shipping_query,21
2025-06-02,East Region,return_request,12
2025-06-02,East Region,other,29
2025-06-03,East Region,checkout_error,6
2025-06-03,East Region,shipping_query,26
2025-06-03,East Region,return_request,13
2025-06-03,East Region,other,27
2025-06-04,East Region,checkout_error,8
2025-06-04,East Region,shipping_query,23
2025-06-04,East Region,return_request,17
2025-06-04,East Region,other,46
2025-06-05,East Region,checkout_error,10
2025-06-05,East Region,shipping_query,17
2025-06-05,East Region,return_request,13
2025-06-05,East Region,other,35
2025-06-06,East Region,checkout_error,7
2025-06-06,East Region,shipping_query,24
2025-06-06,East Region,return_request,16
2025-06-06,East Region,other,19
2025-06-07,East Region,checkout_error,8
2025-06-07,East Region,shipping_query,24
2025-06-07,East Region,return_request,15
2025-06-07,East Region,other,32
2025-06-08,East Region,checkout_error,5
2025-06-08,East Region,shipping_query,17
2025-06-08,East Region,return_request,15
2025-06-08,East Region,other,34
2025-06-09,East Region,checkout_error,10
2025-06-09,East Region,shipping_query,15
2025-06-09,East Region,return_request,19
2025-06-09,East Region,other,34
2025-06-10,East Region,checkout_error,4
2025-06-10,East Region,shipping_query,21
2025-06-10,East Region,return_request,10
2025-06-10,East Region,other,36
2025-06-11,East Region,checkout_error,8
2025-06-11,East Region,shipping_query,17
2025-06-11,East Region,return_request,10
2025-06-11,East Region,other,33
2025-06-12,East Region,checkout_error,8
2025-06-12,East Region,shipping_query,21
2025-06-12,East Region,return_request,15
2025-06-12,East Region,other,38
2025-06-13,East Region,checkout_error,7
2025-06-13,East Region,shipping_query,20
2025-06-13,East Region,return_request,13
2025-06-13,East Region,other,34
2025-06-14,East Region,checkout_error,9
2025-06-14,East Region,shipping_query,17
2025-06-14,East Region,return_request,18
2025-06-14,East Region,other,39
2025-06-15,East Region,checkout_error,8
2025-06-15,East Region,shipping_query,18
2025-06-15,East Region,return_request,15
2025-06-15,East Region,other,33
2025-06-16,East Region,checkout_error,7
2025-06-16,East Region,shipping_query,21
2025-06-16,East Region,return_request,12
2025-06-16,East Region,other,50
2025-06-17,East Region,checkout_error,6
2025-06-17,East Region,shipping_query,23
2025-06-17,East Region,return_request,17
2025-06-17,East Region,other,31
2025-06-18,East Region,checkout_error,8
2025-06-18,East Region,shipping_query,20
2025-06-18,East Region,return_request,13
2025-06-18,East Region,other,17
2025-06-19,East Region,checkout_error,8
2025-06-19,East Region,shipping_query,25
2025-06-19,East Region,return_request,14
2025-06-19,East Region,other,36
2025-06-20,East Region,checkout_error,9
2025-06-20,East Region,shipping_query,29
2025-06-20,East Region,return_request,11
2025-06-20,East Region,other,24
2025-06-21,East Region,checkout_error,6
2025-06-21,East Region,shipping_query,22
2025-06-21,East Region,return_request,13
2025-06-21,East Region,other,36
2025-06-22,East Region,checkout_error,11
2025-06-22,East Region,shipping_query,16
2025-06-22,East Region,return_request,14
2025-06-22,East Region,other,35
2025-06-23,East Region,checkout_error,6
2025-06-23,East Region,shipping_query,26
2025-06-23,East Region,return_request,7
2025-06-23,East Region,other,13
2025-06-24,East Region,checkout_error,8
2025-06-24,East Region,shipping_query,19
2025-06-24,East Region,return_request,15
2025-06-24,East Region,other,45
2025-06-25,East Region,checkout_error,7
2025-06-25,East Region,shipping_query,18
2025-06-25,East Region,return_request,9
2025-06-25,East Region,other,23
2025-06-26,East Region,checkout_error,8
2025-06-26,East Region,shipping_query,25
2025-06-26,East Region,return_request,17
2025-06-26,East Region,other,33
2025-06-27,East Region,checkout_error,6
2025-06-27,East Region,shipping_query,15
2025-06-27,East Region,return_request,18
2025-06-27,East Region,other,27
2025-06-28,East Region,checkout_error,10
2025-06-28,East Region,shipping_query,22
2025-06-28,East Region,return_request,19
2025-06-28,East Region,other,27
2025-06-29,East Region,checkout_error,7
2025-06-29,East Region,shipping_query,19
2025-06-29,East Region,return_request,10
2025-06-29,East Region,other,38
2025-06-30,East Region,checkout_error,5
2025-06-30,East Region,shipping_query,20
2025-06-30,East Region,return_request,10
2025-06-30,East Region,other,36
2025-07-01,East Region,checkout_error,10
2025-07-01,East Region,shipping_query,13
2025-07-01,East Region,return_request,13
2025-07-01,East Region,other,29
2025-07-02,East Region,checkout_error,6
2025-07-02,East Region,shipping_query,22
2025-07-02,East Region,return_request,10
2025-07-02,East Region,other,34
2025-07-03,East Region,checkout_error,8
2025-07-03,East Region,shipping_query,20
2025-07-03,East Region,return_request,15
2025-07-03,East Region,other,21
2025-07-04,East Region,checkout_error,8
2025-07-04,East Region,shipping_query,20
2025-07-04,East Region,return_request,13
2025-07-04,East Region,other,32
2025-07-05,East Region,checkout_error,10
2025-07-05,East Region,shipping_query,21
2025-07-05,East Region,return_request,18
2025-07-05,East Region,other,40
2025-07-06,East Region,checkout_error,9
2025-07-06,East Region,shipping_query,26
2025-07-06,East Region,return_request,7
2025-07-06,East Region,other,33
2025-07-07,East Region,checkout_error,6
2025-07-07,East Region,shipping_query,29
2025-07-07,East Region,return_request,18
2025-07-07,East Region,other,44
2025-07-08,East Region,checkout_error,6
2025-07-08,East Region,shipping_query,21
2025-07-08,East Region,return_request,15
2025-07-08,East Region,other,39
2025-07-09,East Region,checkout_error,9
2025-07-09,East Region,shipping_query,27
2025-07-09,East Region,return_request,14
2025-07-09,East Region,other,32
2025-07-10,East Region,checkout_error,10
2025-07-10,East Region,shipping_query,18
2025-07-10,East Region,return_request,17
2025-07-10,East Region,other,37
2025-07-11,East Region,checkout_error,7
2025-07-11,East Region,shipping_query,22
2025-07-11,East Region,return_request,7
2025-07-11,East Region,other,36
2025-07-12,East Region,checkout_error,10
2025-07-12,East Region,shipping_query,19
2025-07-12,East Region,return_request,14
2025-07-12,East Region,other,39
2025-07-13,East Region,checkout_error,9
2025-07-13,East Region,shipping_query,23
2025-07-13,East Region,return_request,11
2025-07-13,East Region,other,29
2025-07-14,East Region,checkout_error,10
2025-07-14,East Region,shipping_query,24
2025-07-14,East Region,return_request,10
2025-07-14,East Region,other,27
2025-07-15,East Region,checkout_error,9
2025-07-15,East Region,shipping_query,26
2025-07-15,East Region,return_request,14
2025-07-15,East Region,other,43
2025-07-16,East Region,checkout_error,7
2025-07-16,East Region,shipping_query,26
2025-07-16,East Region,return_request,8
2025-07-16,East Region,other,33
2025-07-17,East Region,checkout_error,8
2025-07-17,East Region,shipping_query,22
2025-07-17,East Region,return_request,14
2025-07-17,East Region,other,33
2025-07-18,East Region,checkout_error,8
2025-07-18,East Region,shipping_query,16
2025-07-18,East Region,return_request,10
2025-07-18,East Region,other,35
2025-07-19,East Region,checkout_error,6
2025-07-19,East Region,shipping_query,28
2025-07-19,East Region,return_request,16
2025-07-19,East Region,other,37
2025-07-20,East Region,checkout_error,5
2025-07-20,East Region,shipping_query,18
2025-07-20,East Region,return_request,15
2025-07-20,East Region,other,41
2025-07-21,East Region,checkout_error,6
2025-07-21,East Region,shipping_query,25
2025-07-21,East Region,return_request,14
2025-07-21,East Region,other,36
2025-07-22,East Region,checkout_error,11
2025-07-22,East Region,shipping_query,13
2025-07-22,East Region,return_request,15
2025-07-22,East Region,other,37
2025-07-23,East Region,checkout_error,6
2025-07-23,East Region,shipping_query,23
2025-07-23,East Region,return_request,17
2025-07-23,East Region,other,26
2025-07-24,East Region,checkout_error,5
2025-07-24,East Region,shipping_query,23
2025-07-24,East Region,return_request,18
2025-07-24,East Region,other,44
2025-07-25,East Region,checkout_error,6
2025-07-25,East Region,shipping_query,22
2025-07-25,East Region,return_request,14
2025-07-25,East Region,other,40
2025-07-26,East Region,checkout_error,9
2025-07-26,East Region,shipping_query,18
2025-07-26,East Region,return_request,13
2025-07-26,East Region,other,34
2025-07-27,East Region,checkout_error,7
2025-07-27,East Region,shipping_query,9
2025-07-27,East Region,return_request,21
2025-07-27,East Region,other,48
2025-07-28,East Region,checkout_error,8
2025-07-28,East Region,shipping_query,25
2025-07-28,East Region,return_request,12
2025-07-28,East Region,other,43
2025-07-29,East Region,checkout_error,8
2025-07-29,East Region,shipping_query,17
2025-07-29,East Region,return_request,17
2025-07-29,East Region,other,32
2025-07-30,East Region,checkout_error,7
2025-07-30,East Region,shipping_query,20
2025-07-30,East Region,return_request,13
2025-07-30,East Region,other,27
2025-07-31,East Region,checkout_error,8
2025-07-31,East Region,shipping_query,25
2025-07-31,East Region,return_request,15
2025-07-31,East Region,other,36
2025-08-01,East Region,checkout_error,6
2025-08-01,East Region,shipping_query,18
2025-08-01,East Region,return_request,12
2025-08-01,East Region,other,35
2025-08-02,East Region,checkout_error,6
2025-08-02,East Region,shipping_query,23
2025-08-02,East Region,return_request,13
2025-08-02,East Region,other,37
2025-08-03,East Region,checkout_error,8
2025-08-03,East Region,shipping_query,26
2025-08-03,East Region,return_request,15
2025-08-03,East Region,other,26
2025-08-04,East Region,checkout_error,9
